start	end	M4:HeadMovement	M4:janej	M4:yes	M4:no	M4:word01	M4:Face	M4:pitch	F2:pitch	M4:intensity	F2:intensity	M4:x-pos	M4:y-pos	M4:weight	M4:velocity-r	M4:velocity-clock	M4:velocity-x	M4:velocity-y	M4:acceleration-r	M4:acceleration-clock	M4:acceleration-x	M4:acceleration-y	M4:jerk-r	M4:jerk-clock	M4:jerk-x	M4:jerk-y
6828	6836		ja	1	0	1	Smile	146.28574597102602	146.28574597102602	58.79625394927136	58.79625394927136	411.585000	78.695600	0.853138	1.019340	6	-0.065683	1.017222	0.054969	5	0.030607	0.045659	0.020010	12	-0.004610	-0.019472
6832	6840		ja	1	0	1	Smile	176.11496604622891	176.11496604622891	62.55496584889691	62.55496584889691	410.629000	80.705900	0.833478	1.049348	6	-0.016383	1.049220	0.017066	12	0.002179	-0.016926	0.021733	11	-0.006005	-0.020887
6836	6840		ja	1	0	1	Smile	176.11496604622891	176.11496604622891	62.55496584889691	62.55496584889691	411.620000	82.718500	0.873596	0.964998	6	-0.033917	0.964402	0.076271	12	-0.006104	-0.076027	0.016259	12	0.000250	-0.016257
6840	6843		ja	1	0	1	Smile	193.63727361159968	193.63727361159968	71.66034832282831	71.66034832282831	411.600000	82.739600	0.872758	0.767308	6	-0.034217	0.766545	0.115346	12	0.004418	-0.115262	0.007183	12	-0.001648	-0.006992
6844	6856			0	0	1	Smile	183.87932066719821	183.87932066719821	65.03865132206403	65.03865132206403	410.631000	83.678900	0.858593	0.532961	6	-0.033617	0.531900	0.120360	12	-0.013676	-0.119581	0.003992	5	0.002075	0.003411
6848	6860			0	0	1	Smile	206.0632755361137	206.0632755361137	76.36535181805861	76.36535181805861	411.602000	83.703800	0.893096	0.282335	6	-0.034383	0.280233	0.101652	12	0.013801	-0.100711	0.012856	5	0.008345	0.009780
6852	6860			0	0	1	Smile	206.0632755361137	206.0632755361137	76.36535181805861	76.36535181805861	410.611000	83.695900	0.874754	0.117234	7	-0.033283	0.112410	0.065445	1	0.030246	-0.058037	0.012975	5	0.004704	0.012092
6856	6860			0	0	1	Smile	206.0632755361137	206.0632755361137	76.36535181805861	76.36535181805861	410.610000	83.699300	0.879399	0.117489	4	0.098667	0.063785	0.059451	2	0.054485	-0.023786	0.008618	5	0.003233	0.007989
6860	6864			0	0	1	Smile	211.9028529198404	211.9028529198404	75.029602099522	75.029602099522	411.599000	83.699300	0.884171	0.213900	3	0.213900	0.000388	0.047360	2	0.044434	-0.016390	0.005598	8	-0.004506	0.003322
6864	6868			0	0	1	Smile	181.09481665029878	181.09481665029878	71.81169303836755	71.81169303836755	410.629000	83.689700	0.871810	0.233751	3	0.233750	0.000680	0.019785	3	0.019761	0.000975	0.007923	8	-0.007219	0.003265
6868	6872			0	0	1	Smile	191.83569638149285	191.83569638149285	68.32413131877372	68.32413131877372	411.613000	83.683000	0.893143	0.302401	3	0.302367	0.004587	0.010985	3	0.010843	0.001764	0.006919	8	-0.006187	0.003098
6872	6875			0	0	1	Smile	166.9825053209102	166.9825053209102	59.21480607413251	59.21480607413251	412.583000	83.699500	0.918264	0.268995	3	0.268883	0.007765	0.028988	8	-0.022904	0.017767	0.008437	8	-0.007899	0.002963
6876	6884			0	0	0	Smile	364.4007166458922	364.4007166458922	46.06607157628331	46.06607157628331	412.598000	83.696800	0.915389	0.215133	4	0.202683	0.072123	0.040579	8	-0.032478	0.024328	0.002578	8	-0.002193	0.001357
